Variable,,,
RGPM_Y4,36,,4 Yr Ago
RGPM_Y5,36,,5 Yr Ago
RGPM_Y6,33,,6 Yr Ago
RGPM_Y7,35,,7 Yr Ago
RNPM_12M,91,,12 Yr Ago
RNPM_Y1,91,,1 Yr Ago
RNPM_Y2,88,,2 Yr Ago
RNPM_Y3,78,,3 Yr Ago
RNPM_Y4,68,,4 Yr Ago
RNPM_Y5,66,,5 Yr Ago
RNPM_Y6,46,,6 Yr Ago
RNPM_Y7,41,,7 Yr Ago
RPAYOUT_12,0,,12 Yr Avg
RPAYOUT_Y1,0,,1 Yr Ago
RPAYOUT_Y2,0,,2 Yr Ago
RPAYOUT_Y3,0,,3 Yr Ago
RPAYOUT_Y4,0,,4 Yr Ago
RPAYOUT_Y5,0,,5 Yr Ago
RPAYOUT_Y6,0,,6 Yr Ago
RPAYOUT_Y7,0,,7 Yr Ago
RASSETS_Q1,98,,1 Yr Ago
RASSETS_Y1,98,,1 Yr Ago
RASSETS_Y2,98,,2 Yr Ago
RASSETS_Y3,97,,3 Yr Ago
RASSETS_Y4,96,,4 Yr Ago
RASSETS_Y5,95,,5 Yr Ago
RASSETS_Y6,94,,6 Yr Ago
RASSETS_Y7,94,,7 Yr Ago
RROA_12M,96,,12 Yr Ago
RROA_Y1,95,,1 Yr Ago
RROA_Y2,95,,2 Yr Ago
RROA_Y3,92,,3 Yr Ago
RROA_Y4,89,,4 Yr Ago
RROA_Y5,89,,5 Yr Ago
RROA_Y6,63,,6 Yr Ago
RROA_Y7,51,,7 Yr Ago
RROE_12M,80,,12 Yr Ago
RROE_Y1,80,,1 Yr Ago
RROE_Y2,83,,2 Yr Ago
RROE_Y3,81,,3 Yr Ago
RROE_Y4,76,,4 Yr Ago
RROE_Y5,74,,5 Yr Ago
RROE_Y6,40,,6 Yr Ago
RROE_Y7,36,,7 Yr Ago
RCURR_Q1,72,,1 Yr Ago
RCURR_Y1,72,,1 Yr Ago
RCURR_Y2,71,,2 Yr Ago
RCURR_Y3,65,,3 Yr Ago
RCURR_Y4,63,,4 Yr Ago
RCURR_Y5,73,,5 Yr Ago
RCURR_Y6,68,,6 Yr Ago
RCURR_Y7,65,,7 Yr Ago
RQUICK_Q1,78,,1 Yr Ago
RQUICK_Y1,79,,1 Yr Ago
RQUICK_Y2,78,,2 Yr Ago
RQUICK_Y3,71,,3 Yr Ago
RQUICK_Y4,70,,4 Yr Ago
RQUICK_Y5,77,,5 Yr Ago
RQUICK_Y6,75,,6 Yr Ago
RQUICK_Y7,74,,7 Yr Ago
RTL_TA_Q1,23,,1 Yr Avg
RTL_TA_Y1,26,,1 Yr Avg
RTL_TA_Y2,31,,2 Yr Avg
RTL_TA_Y3,37,,3 Yr Avg
RTL_TA_Y4,36,,4 Yr Avg
RTL_TA_Y5,30,,5 Yr Avg
RTL_TA_Y6,31,,6 Yr Avg
RTL_TA_Y7,32,,7 Yr Avg
RLTD_TC_Q1,0,,1 Yr Avg
RLTD_TC_Y1,0,,1 Yr Avg
